geo,transmission,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
.,L,l,l,l,l,l,l,l,l,l,l,l,r,r
.,X,c,c,c,c,c,c,c,c,c,c,c,r,r
.,E,,,,,,,,,,,e,e,e
AT,L,l,l,l,l,l,l,l,l,l,l,l,r,r
AT,X,c,c,c,c,c,c,c,c,c,c,c,r,r
AT,E,,,,,,,,,,,e,e,e
BE,L,l,l,l,l,l,l,l,l,l,l,l,r,r
BE,X,c,c,c,c,c,c,c,c,c,c,c,r,r
BE,E,,,,,,,,,,,e,e,e
BG,L,l,l,l,l,l,l,l,l,l,l,l,r,r
BG,X,c,c,c,c,c,c,c,c,c,c,c,r,r
BG,E,,,,,,,,,,,e,e,e
CH,L,l,l,l,l,l,l,l,l,l,l,l,r,r
CH,X,c,c,c,c,c,c,c,c,c,c,c,r,r
CH,E,,,,,,,,,,,e,e,e
CY,L,l,l,l,l,l,l,l,l,l,l,l,r,r
CY,X,c,c,c,c,c,c,c,c,c,c,c,r,r
CY,E,,,,,,,,,,,e,e,e
CZ,L,l,l,l,l,l,l,l,l,l,l,l,r,r
CZ,X,c,c,c,c,c,c,c,c,c,c,c,r,r
CZ,E,,,,,,,,,,,e,e,e
DE,L,l,l,l,l,l,l,l,l,l,l,l,r,r
DE,X,c,c,c,c,c,c,c,c,c,c,c,r,r
DE,E,,,,,,,,,,,e,e,e
DK,L,l,l,l,l,l,l,l,l,l,l,l,r,r
DK,X,c,c,c,c,c,c,c,c,c,c,c,r,r
DK,E,,,,,,,,,,,e,e,e
EE,L,l,l,l,l,l,l,l,l,l,l,l,r,r
EE,X,c,c,c,c,c,c,c,c,c,c,c,r,r
EE,E,,,,,,,,,,,e,e,e
ES,L,l,l,l,l,l,l,l,l,l,l,l,r,r
ES,X,c,c,c,c,c,c,c,c,c,c,c,r,r
ES,E,,,,,,,,,,,e,e,e
FI,L,l,l,l,l,l,l,l,l,l,l,l,r,r
FI,X,c,c,c,c,c,c,c,c,c,c,c,r,r
FI,E,,,,,,,,,,,e,e,e
FR,L,l,l,l,l,l,l,l,l,l,l,l,r,r
FR,X,c,c,c,c,c,c,c,c,c,c,c,r,r
FR,E,,,,,,,,,,,e,e,e
EL,L,l,l,l,l,l,l,l,l,l,l,l,r,r
EL,X,c,c,c,c,c,c,c,c,c,c,c,r,r
EL,E,,,,,,,,,,,e,e,e
HU,L,l,l,l,l,l,l,l,l,l,l,l,r,r
HU,X,c,c,c,c,c,c,c,c,c,c,c,r,r
HU,E,,,,,,,,,,,e,e,e
IE,L,l,l,l,l,l,l,l,l,l,l,l,r,r
IE,X,c,c,c,c,c,c,c,c,c,c,c,r,r
IE,E,,,,,,,,,,,e,e,e
IS,L,l,l,l,l,l,l,l,l,l,l,l,r,r
IS,X,c,c,c,c,c,c,c,c,c,c,c,r,r
IS,E,,,,,,,,,,,e,e,e
IT,L,l,l,l,l,l,l,l,l,l,l,l,r,r
IT,X,c,c,c,c,c,c,c,c,c,c,c,r,r
IT,E,,,,,,,,,,,e,e,e
LT,L,l,l,l,l,l,l,l,l,l,l,l,r,r
LT,X,c,c,c,c,c,c,c,c,c,c,c,r,r
LT,E,,,,,,,,,,,e,e,e
LU,L,l,l,l,l,l,l,l,l,l,l,l,r,r
LU,X,c,c,c,c,c,c,c,c,c,c,c,r,r
LU,E,,,,,,,,,,,e,e,e
LV,L,l,l,l,l,l,l,l,l,l,l,l,r,r
LV,X,c,c,c,c,c,c,c,c,c,c,c,r,r
LV,E,,,,,,,,,,,e,e,e
ME,L,l,l,l,l,l,l,l,l,l,l,l,r,r
ME,X,c,c,c,c,c,c,c,c,c,c,c,r,r
ME,E,,,,,,,,,,,e,e,e
MT,L,l,l,l,l,l,l,l,l,l,l,l,r,r
MT,X,c,c,c,c,c,c,c,c,c,c,c,r,r
MT,E,,,,,,,,,,,e,e,e
NL,L,l,l,l,l,l,l,l,l,l,l,l,r,r
NL,X,c,c,c,c,c,c,c,c,c,c,c,r,r
NL,E,,,,,,,,,,,e,e,e
NO,L,l,l,l,l,l,l,l,l,l,l,l,r,r
NO,X,c,c,c,c,c,c,c,c,c,c,c,r,r
NO,E,,,,,,,,,,,e,e,e
PL,L,l,l,l,l,l,l,l,l,l,l,l,r,r
PL,X,c,c,c,c,c,c,c,c,c,c,c,r,r
PL,E,,,,,,,,,,,e,e,e
PT,L,l,l,l,l,l,l,l,l,l,l,l,r,r
PT,X,c,c,c,c,c,c,c,c,c,c,c,r,r
PT,E,,,,,,,,,,,e,e,e
RO,L,l,l,l,l,l,l,l,l,l,l,l,r,r
RO,X,c,c,c,c,c,c,c,c,c,c,c,r,r
RO,E,,,,,,,,,,,e,e,e
SE,L,l,l,l,l,l,l,l,l,l,l,l,r,r
SE,X,c,c,c,c,c,c,c,c,c,c,c,r,r
SE,E,,,,,,,,,,,e,e,e
SI,L,l,l,l,l,l,l,l,l,l,l,l,r,r
SI,X,c,c,c,c,c,c,c,c,c,c,c,r,r
SI,E,,,,,,,,,,,e,e,e
SK,L,l,l,l,l,l,l,l,l,l,l,l,r,r
SK,X,c,c,c,c,c,c,c,c,c,c,c,r,r
SK,E,,,,,,,,,,,e,e,e
TR,L,l,l,l,l,l,l,l,l,l,l,l,r,r
TR,X,c,c,c,c,c,c,c,c,c,c,c,r,r
TR,E,,,,,,,,,,,e,e,e
UK,L,l,l,l,l,l,l,l,l,l,l,l,r,r
UK,X,c,c,c,c,c,c,c,c,c,c,c,r,r
UK,E,,,,,,,,,,,e,e,e
HR,L,l,l,l,l,l,l,l,l,l,l,l,r,r
HR,X,c,c,c,c,c,c,c,c,c,c,c,r,r
HR,E,,,,,,,,,,,e,e,e
MK,L,l,l,l,l,l,l,l,l,l,l,l,r,r
MK,X,c,c,c,c,c,c,c,c,c,c,c,r,r
MK,E,,,,,,,,,,,e,e,e
