label,variable,start,end,sexcl,eexcl,type,_fmt1_HT1_,_fmt2_HT1_,_fmt3_HT1_,_fmt4_HT1_,_fmt5_HT1_
A1,HT1,1,5,0,0,N,1,1,1,1,1
A1M,HT1,1,3,0,0,N,1,1,,1,1
A1F,HT1,2,4,0,0,N,1,1,,1,1
A1_LT65,HT1,1,2,0,0,N,,1,,1,1
A1_GE65,HT1,3,4,0,0,N,,1,,,1
A1_DCH,HT1,9,9,0,0,N,1,1,1,1,1
A2_2LT65,HT4,6,6,0,0,N,1,1,1,1,1
A2_GE1_GE65,HT5,7,7,0,0,N,1,1,1,1,1
A2,HT3,6,7,0,0,N,1,1,1,1,1
A_GE3,HT12,8,8,0,0,N,1,1,1,1,1
A_GE2_NDCH,HT10,6,8,0,0,N,1,,1,1,1
A2_1DCH,HT6,10,10,0,0,N,,1,1,1,1
A2_2DCH,HT7,11,11,0,0,N,,1,1,1,1
A2_GE3DCH,HT8,12,12,0,0,N,,1,1,1,1
A_GE3_DCH,HT11,13,13,0,0,N,,1,1,1,1
A_GE2_DCH,HT9,10,13,0,0,N,1,,1,1,1
HH_NDCH,HT13,1,8,0,0,N,1,1,1,1,1
HH_DCH,HT14,9,13,0,0,N,1,1,1,1,1
TOTAL,HT15,1,13,0,0,N,1,1,1,1,1
OTHER,OTHER,16,16,0,0,N,1,1,1,1,1
